"","Images","Masks"
"32","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/126.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/126.png"
"33","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/127.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/127.png"
"34","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/128.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/128.png"
"35","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/129.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/129.png"
"36","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/13.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/13.png"
"37","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/130.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/130.png"
"38","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/131.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/131.png"
"39","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/132.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/132.png"
"40","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/133.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/133.png"
"41","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/134.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/134.png"
"42","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/135.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/135.png"
"43","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/136.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/136.png"
"44","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/137.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/137.png"
"45","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/138.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/138.png"
"46","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/139.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/139.png"
"47","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/14.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/14.png"
"48","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/140.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/140.png"
"49","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/141.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/141.png"
"50","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/142.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/142.png"
"51","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/143.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/143.png"
"52","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/144.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/144.png"
"53","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/145.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/145.png"
"54","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/146.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/146.png"
"55","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/147.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/147.png"
"56","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/148.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/148.png"
"57","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/149.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/149.png"
"58","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/15.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/15.png"
"59","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/150.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/150.png"
"60","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/151.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/151.png"
"61","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/152.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/152.png"
"62","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/153.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/153.png"
"63","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/154.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/154.png"
"64","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/155.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/155.png"
"65","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/156.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/156.png"
"66","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/157.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/157.png"
"67","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/158.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/158.png"
"68","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/159.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/159.png"
"69","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/16.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/16.png"
"70","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/160.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/160.png"
"71","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/161.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/161.png"
"72","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/162.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/162.png"
"73","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/163.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/163.png"
"74","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/164.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/164.png"
"75","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/165.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/165.png"
"76","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/166.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/166.png"
"77","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/167.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/167.png"
"78","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/168.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/168.png"
"79","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/169.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/169.png"
"80","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/17.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/17.png"
"81","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/170.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/170.png"
"82","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/171.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/171.png"
"83","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/172.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/172.png"
"84","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/173.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/173.png"
"85","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/174.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/174.png"
"86","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/175.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/175.png"
"87","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/176.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/176.png"
"88","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/177.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/177.png"
"89","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/178.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/178.png"
"90","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/179.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/179.png"
"91","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/18.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/18.png"
"92","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/180.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/180.png"
"93","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/181.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/181.png"
"94","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/182.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/182.png"
"95","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/183.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/183.png"
"96","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/184.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/184.png"
"97","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/185.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/185.png"
"98","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/186.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/186.png"
"99","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/187.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/187.png"
"100","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/188.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/188.png"
"101","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/189.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/189.png"
"102","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/19.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/19.png"
"103","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/190.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/190.png"
"104","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/191.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/191.png"
"105","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/192.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/192.png"
"106","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/193.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/193.png"
"107","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/194.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/194.png"
"108","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/195.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/195.png"
"109","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/196.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/196.png"
"110","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/197.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/197.png"
"111","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/198.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/198.png"
"112","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/199.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/199.png"
"113","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/2.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/2.png"
"114","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/20.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/20.png"
"115","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/200.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/200.png"
"116","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/201.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/201.png"
"117","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/202.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/202.png"
"118","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/203.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/203.png"
"119","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/204.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/204.png"
"120","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/205.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/205.png"
"121","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/206.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/206.png"
"122","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/207.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/207.png"
"123","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/208.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/208.png"
"124","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/209.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/209.png"
"125","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/21.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/21.png"
"126","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/210.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/210.png"
"127","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/211.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/211.png"
"128","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/212.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/212.png"
"129","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/213.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/213.png"
"130","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/214.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/214.png"
"131","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/215.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/215.png"
"132","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/216.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/216.png"
"133","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/217.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/217.png"
"134","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/218.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/218.png"
"135","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/219.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/219.png"
"136","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/22.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/22.png"
"137","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/220.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/220.png"
"138","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/221.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/221.png"
"139","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/222.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/222.png"
"140","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/223.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/223.png"
"141","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/224.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/224.png"
"142","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/225.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/225.png"
"143","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/226.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/226.png"
"144","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/227.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/227.png"
"145","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/228.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/228.png"
"146","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/229.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/229.png"
"147","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/23.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/23.png"
"148","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/230.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/230.png"
"149","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/231.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/231.png"
"150","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/232.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/232.png"
"151","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/233.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/233.png"
"152","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/234.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/234.png"
"153","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/235.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/235.png"
"154","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/236.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/236.png"
"155","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/237.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/237.png"
"156","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/238.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/238.png"
"157","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/239.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/239.png"
"158","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/24.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/24.png"
"159","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/240.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/240.png"
"160","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/241.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/241.png"
"161","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/242.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/242.png"
"162","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/243.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/243.png"
"163","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/244.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/244.png"
"164","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/245.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/245.png"
"165","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/246.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/246.png"
"166","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/247.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/247.png"
"167","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/248.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/248.png"
"168","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/249.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/249.png"
"169","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/25.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/25.png"
"170","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/250.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/250.png"
"171","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/251.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/251.png"
"172","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/252.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/252.png"
"173","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/253.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/253.png"
"174","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/254.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/254.png"
"175","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/255.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/255.png"
"176","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/256.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/256.png"
"177","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/257.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/257.png"
"178","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/258.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/258.png"
"179","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/259.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/259.png"
"180","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/26.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/26.png"
"181","C:\Users\naren\OneDrive\Desktop\data-120\Train_120/260.jpg","C:\Users\naren\OneDrive\Desktop\data-120\Train_Annotation_120/260.png"
